Sno,Movie,Year,Certificate,Genre,Runtime,Rating,No.of.Ratings
1224,Bhakta Prahlada,1932,U,"Drama, Fantasy            ",108,7.1,66
437,Pathala Bhairavi,1951,U,"Action, Adventure, Family            ",192,8.5,592
878,Malliswari,1951,U,"Drama, History, Musical            ",194,7,144
991,Kanchana,1952,U,Drama            ,165,7,106
732,Devadasu,1953,U,"Drama, Family, Musical            ",191,7.4,235
378,Missamma,1955,U,"Comedy, Drama, Family            ",181,8.5,754
1069,Kanyasulkam,1955,U,Drama            ,167,7.9,90
92,Maya Bazaar,1957,U,"Comedy, Drama, Family            ",192,9.2,3733
1345,Panduranga Mahatyam,1957,U,"Drama, History, Musical            ",0,8.2,54
893,Bhookailas,1958,U,"Drama, Musical            ",174,7.1,138
1061,Appu Chesi Pappu Koodu,1959,U,"Comedy, Drama            ",176,8,91
959,Kalathur Kannamma,1960,U,"Drama, Romance            ",176,7,115
1068,Jagadeka Veeruni Katha,1961,U,"Drama, Fantasy            ",187,7.9,90
1140,Seetha Rama Kalyanam,1961,U,"Drama, Musical            ",182,7.7,79
261,Gundamma Katha,1962,U,"Comedy, Drama            ",166,8.8,1236
1264,Gulebakavali Katha,1962,U,"Musical, Drama, Fantasy            ",0,8.2,61
1354,Parthal Pasi Theerum,1962,U,"Drama, War            ",159,7.8,53
757,Narthanasala,1963,U,"Drama, Musical            ",175,7.6,219
1320,Sri Krishnarjuna Yudham,1963,U,"Drama, Fantasy, History            ",174,8.1,56
556,Karnan,1964,U,"Action, Drama, History            ",187,8,389
1080,Mooga Manasulu,1964,U,Drama            ,164,7.7,88
1194,Ramudu Bheemudu,1964,U,"Comedy, Drama            ",167,7.5,70
902,Enga Veetu Pillai,1965,U,"Action, Comedy, Drama            ",147,7.1,135
1092,Pandava Vanavasamu,1965,U,"Drama, Fantasy            ",188,8.1,86
1109,Sri Krishna Pandaveeyam,1966,U,"Drama, Musical            ",187,7.9,84
1376,Paramanandayya Shishyula Katha,1966,U,"Drama, Musical            ",0,8.1,51
928,Ave Kallu,1967,Unrated,"Musical, Mystery, Thriller            ",163,7.2,124
946,Bama Vijayam,1967,,Comedy            ,179,7.3,119
1280,Srimanthudu,1971,U,"Drama, Romance            ",149,7.2,60
1372,Mosagalaku Mosagaadu,1971,,Adventure            ,0,8.3,51
1142,Sampoorna Ramayanam,1972,U,"Drama, Family, Fantasy            ",190,7.7,79
622,Alluri Seetharama Raju,1974,U,"Action, Biography, Drama            ",187,7.5,317
1029,Swargam Narakam,1975,,"Comedy, Drama            ",140,8.1,96
1045,Muthyala Muggu,1975,U,Family            ,165,7.4,94
1030,Manmatha Leelai,1976,A,"Comedy, Musical, Romance            ",161,7.5,96
